"","age_group","metric","outcome","ref","population_age","mean","lb_95","ub_95"
"1","<1mo","risk","symptomatic","Model",56605.4166666667,0.9084,0.842,0.969
"2","1mo","risk","symptomatic","Model",56605.4166666667,0.9084,0.842,0.969
"3","2mo","risk","symptomatic","Model",56605.4166666667,0.9084,0.842,0.969
"4","3mo","risk","symptomatic","Model",56605.4166666667,0.9084,0.842,0.969
"5","4mo","risk","symptomatic","Model",56605.4166666667,0.9084,0.842,0.969
"6","5mo","risk","symptomatic","Model",56605.4166666667,0.9084,0.842,0.969
"7","6mo","risk","symptomatic","Model",56605.4166666667,0.9084,0.842,0.969
"8","7mo","risk","symptomatic","Model",56605.4166666666,0.9084,0.842,0.969
"9","8mo","risk","symptomatic","Model",56605.4166666667,0.9084,0.842,0.969
"10","9mo","risk","symptomatic","Model",56605.4166666667,0.9084,0.842,0.969
"11","10mo","risk","symptomatic","Model",56605.4166666666,0.9084,0.842,0.969
"12","11mo","risk","symptomatic","Model",56605.4166666667,0.9084,0.842,0.969
"13","1yr","risk","symptomatic","Model",679265,0.837,0.777,0.908
"14","2yr","risk","symptomatic","Model",679265,0.837,0.777,0.908
"15","3yr","risk","symptomatic","Model",679265,0.837,0.777,0.908
"16","4yr","risk","symptomatic","Model",679265,0.837,0.777,0.908
"17","5-9yr","risk","symptomatic","Model",3396325,0.484,0.428,0.54
"18","10-14yr","risk","symptomatic","Model",3396325,0.484,0.428,0.54
"19","15-24yr","risk","symptomatic","Model",6792650,0.247,0.171,0.344
"20","25-34yr","risk","symptomatic","Model",6792650,0.247,0.171,0.344
"21","35-44yr","risk","symptomatic","Model",6792650,0.247,0.171,0.344
"22","45-55yr","risk","symptomatic","Model",6792650,0.247,0.171,0.344
"23","55-64yr","risk","symptomatic","Model",6792650,0.247,0.171,0.344
"24","65-74yr","risk","symptomatic","Model",6792650,0.247,0.171,0.344
"25","75yr","risk","symptomatic","Model",7799725,0.247,0.171,0.344
"26","<1mo","risk","gp","Cromer2017",56605.4166666667,0.294445003808758,0.290458586857099,0.298293958106912
"27","1mo","risk","gp","Cromer2017",56605.4166666667,0.269275318509485,0.265629667605295,0.27279525731353
"28","2mo","risk","gp","Cromer2017",56605.4166666667,0.269613378891286,0.265963151072496,0.27313773678529
"29","3mo","risk","gp","Cromer2017",56605.4166666667,0.269618322081242,0.265968027337845,0.273142744592108
"30","4mo","risk","gp","Cromer2017",56605.4166666667,0.268403962450088,0.26477010861673,0.271912510978848
"31","5mo","risk","gp","Cromer2017",56605.4166666667,0.267284687877306,0.263665987621264,0.270778605365899
"32","6mo","risk","gp","Cromer2017",56605.4166666667,0.136222686425628,0.134351495678024,0.137969131123393
"33","7mo","risk","gp","Cromer2017",56605.4166666666,0.137042487312675,0.135160035563875,0.138799442278222
"34","8mo","risk","gp","Cromer2017",56605.4166666667,0.13886362801167,0.136956160593927,0.140643930934896
"35","9mo","risk","gp","Cromer2017",56605.4166666667,0.141690771474091,0.139744469668128,0.143507319826323
"36","10mo","risk","gp","Cromer2017",56605.4166666666,0.145403899205757,0.143406592897986,0.147268051759677
"37","11mo","risk","gp","Cromer2017",56605.4166666667,0.14977503460644,0.147717685229978,0.151695227357805
"38","1yr","risk","gp","Cromer2017",679265,0.138487704695229,0.136585401059306,0.140263188088758
"39","2yr","risk","gp","Cromer2017",679265,0.171302378960147,0.168949324304101,0.17349856330579
"40","3yr","risk","gp","Cromer2017",679265,0.189289312033792,0.18668918412124,0.191716098085507
"41","4yr","risk","gp","Cromer2017",679265,0.202240700858531,0.199462669253332,0.204833530356718
"42","5-9yr","risk","gp","Taylor2016",3396325,0.0169485186089952,0.00961531755914268,0.0242817196588477
"43","10-14yr","risk","gp","Taylor2016",3396325,0.0172965078295212,0.00981274052805869,0.0247802751309836
"44","15-24yr","risk","gp","Fleming2015",6792650,0.0132027556789333,0.00863932166287661,0.0165765765540522
"45","25-34yr","risk","gp","Fleming2015",6792650,0.0146499695870357,0.00958631687896133,0.0183936102643728
"46","35-44yr","risk","gp","Fleming2015",6792650,0.0136580241879182,0.00893723000775152,0.0171481839877851
"47","45-55yr","risk","gp","Fleming2015",6792650,0.033024449280825,0.0231295765529099,0.0384329817290809
"48","55-64yr","risk","gp","Fleming2015",6792650,0.0479717198059268,0.0335983063999246,0.0558282203326333
"49","65-74yr","risk","gp","Fleming2015",6792650,0.0907692348742289,0.0656018752621436,0.106192709916004
"50","75yr","risk","gp","Fleming2015",7799725,0.11587758658408,0.0827925377249015,0.134045061078412
"51","<1mo","risk","death","Cromer2017",56605.4166666667,3.40907380693613e-05,3.27161115343064e-05,3.54653646044162e-05
"52","1mo","risk","death","Cromer2017",56605.4166666667,3.1176600835832e-05,2.99194798343872e-05,3.24337218372769e-05
"53","2mo","risk","death","Cromer2017",56605.4166666667,3.12157413468902e-05,2.99570420990318e-05,3.24744405947487e-05
"54","3mo","risk","death","Cromer2017",56605.4166666667,3.12163136676695e-05,2.99575913423602e-05,3.24750359929788e-05
"55","4mo","risk","death","Cromer2017",56605.4166666667,3.10757155404397e-05,2.98226624944543e-05,3.23287685864252e-05
"56","5mo","risk","death","Cromer2017",56605.4166666667,3.09461263275313e-05,2.9698298653034e-05,3.21939540020285e-05
"57","6mo","risk","death","Cromer2017",56605.4166666667,8.23323928946106e-06,7.98374718978042e-06,8.4827313891417e-06
"58","7mo","risk","death","Cromer2017",56605.4166666666,8.28278769472213e-06,8.0317941282154e-06,8.53378126122886e-06
"59","8mo","risk","death","Cromer2017",56605.4166666667,8.39285663806794e-06,8.13852764903558e-06,8.64718562710031e-06
"60","9mo","risk","death","Cromer2017",56605.4166666667,8.56372794623625e-06,8.30422103877454e-06,8.82323485369795e-06
"61","10mo","risk","death","Cromer2017",56605.4166666666,8.78814775419413e-06,8.52184024649128e-06,9.05445526189698e-06
"62","11mo","risk","death","Cromer2017",56605.4166666667,9.0523372564332e-06,8.77802400623825e-06,9.32665050662815e-06
"63","1yr","risk","death","Cromer2017",679265,8.37013599806329e-06,8.1164955132735e-06,8.62377648285309e-06
"64","2yr","risk","death","Cromer2017",679265,1.03534404866023e-05,1.00396998657962e-05,1.06671811074084e-05
"65","3yr","risk","death","Cromer2017",679265,1.14405628152292e-05,1.10938790935556e-05,1.17872465369028e-05
"66","4yr","risk","death","Cromer2017",679265,1.22233390628783e-05,1.18529348488517e-05,1.25937432769049e-05
"67","5-9yr","risk","death","Taylor2016",3396325,0,0,0
"68","10-14yr","risk","death","Taylor2016",3396325,0,0,0
"69","15-24yr","risk","death","Fleming2015",6792650,0,0,1.95018547694732e-05
