age_group,metric,outcome,ref,mean,lb_95,ub_95
<1mo,inc_inf,symptomatic,Model,90840,84200,96900
1mo,inc_inf,symptomatic,Model,90840,84200,96900
2mo,inc_inf,symptomatic,Model,90840,84200,96900
3mo,inc_inf,symptomatic,Model,90840,84200,96900
4mo,inc_inf,symptomatic,Model,90840,84200,96900
5mo,inc_inf,symptomatic,Model,90840,84200,96900
6mo,inc_inf,symptomatic,Model,90840,84200,96900
7mo,inc_inf,symptomatic,Model,90840,84200,96900
8mo,inc_inf,symptomatic,Model,90840,84200,96900
9mo,inc_inf,symptomatic,Model,90840,84200,96900
10mo,inc_inf,symptomatic,Model,90840,84200,96900
11mo,inc_inf,symptomatic,Model,90840,84200,96900
1yr,inc_inf,symptomatic,Model,83700,77700,90800
2yr,inc_inf,symptomatic,Model,83700,77700,90800
3yr,inc_inf,symptomatic,Model,83700,77700,90800
4yr,inc_inf,symptomatic,Model,83700,77700,90800
5-9yr,inc_inf,symptomatic,Model,48400,42800,54000
10-14yr,inc_inf,symptomatic,Model,48400,42800,54000
15-24yr,inc_inf,symptomatic,Model,24700,17100,34400
25-34yr,inc_inf,symptomatic,Model,24700,17100,34400
35-44yr,inc_inf,symptomatic,Model,24700,17100,34400
45-55yr,inc_inf,symptomatic,Model,24700,17100,34400
55-64yr,inc_inf,symptomatic,Model,24700,17100,34400
65-74yr,inc_inf,symptomatic,Model,24700,17100,34400
75yr,inc_inf,symptomatic,Model,24700,17100,34400
<1mo,inc,gp,Cromer2017,21420,21130,21700
1mo,inc,gp,Cromer2017,21420,21130,21700
2mo,inc,gp,Cromer2017,21420,21130,21700
3mo,inc,gp,Cromer2017,21420,21130,21700
4mo,inc,gp,Cromer2017,21420,21130,21700
5mo,inc,gp,Cromer2017,21420,21130,21700
6mo,inc,gp,Cromer2017,10920,10770,11060
7mo,inc,gp,Cromer2017,10920,10770,11060
8mo,inc,gp,Cromer2017,10920,10770,11060
9mo,inc,gp,Cromer2017,10920,10770,11060
10mo,inc,gp,Cromer2017,10920,10770,11060
11mo,inc,gp,Cromer2017,10920,10770,11060
1yr,inc,gp,Cromer2017,10920,10770,11060
2yr,inc,gp,Cromer2017,10920,10770,11060
3yr,inc,gp,Cromer2017,10920,10770,11060
4yr,inc,gp,Cromer2017,10920,10770,11060
5-9yr,inc,gp,Taylor2016,1114,632,1596
10-14yr,inc,gp,Taylor2016,1114,632,1596
15-24yr,inc,gp,Fleming2015,677,443,850
25-34yr,inc,gp,Fleming2015,677,443,850
35-44yr,inc,gp,Fleming2015,677,443,850
45-55yr,inc,gp,Fleming2015,1325,928,1542
55-64yr,inc,gp,Fleming2015,1325,928,1542
65-74yr,inc,gp,Fleming2015,1742,1259,2038
75yr,inc,gp,Fleming2015,2175,1554,2516
<1mo,inc,death,Cromer2017,2.48,2.38,2.58
1mo,inc,death,Cromer2017,2.48,2.38,2.58
2mo,inc,death,Cromer2017,2.48,2.38,2.58
3mo,inc,death,Cromer2017,2.48,2.38,2.58
4mo,inc,death,Cromer2017,2.48,2.38,2.58
5mo,inc,death,Cromer2017,2.48,2.38,2.58
6mo,inc,death,Cromer2017,0.66,0.64,0.68
7mo,inc,death,Cromer2017,0.66,0.64,0.68
